Name,Rating,Ranked,Popularity,Members,Type
Zoku Attacker You! Kin Medal e no Michi,6.25,8507,2008 - 2008,"1,338 members",TV
5-Okunen Button,6.25,8508,Jul 2022 - Sep 2022,909 members,TV
AD Police,6.25,8509,May 1990 - Nov 1990,"20,201 members",OVA
Andersen Monogatari (TV),6.25,8510,Jan 1971 - Dec 1971,"1,454 members",TV
Blassreiter: Navi,6.25,8511,Jun 2008 - Jun 2008,"4,398 members",Special
Boukensha: The Man Was from Spain,6.25,8512,Nov 1992 - Mar 1993,"1,463 members",TV
Bubuki Buranki,6.25,8513,Jan 2016 - Mar 2016,"73,469 members",TV
Cookin' Idol Ai! Mai! Main!,6.25,8514,Mar 2009 - Mar 2013,"2,849 members",TV
Dorimogu Daa!!,6.25,8515,Oct 1986 - Oct 1987,912 members,TV
Eureka Seven AO: Jungfrau no Hanabana-tachi,6.25,8516,Sep 2012 - Sep 2012,"11,176 members",OVA
Future GPX Cyber Formula Graffiti,6.25,8517,Aug 1992 - Aug 1992,816 members,OVA
Fuusen Shoujo Temple-chan,6.25,8518,Oct 1977 - Mar 1978,747 members,TV
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,6.25,8519,Jul 1986 - Jul 1986,"1,007 members",Movie
Getsumen to Heiki Mina,6.25,8520,Jan 2007 - Mar 2007,"9,094 members",TV
Ghost Tale,6.25,8521,Oct 2023 - Oct 2023,"1,172 members",ONA
Ginga no Uo Ursa Minor Blue,6.25,8522,May 1993 - May 1993,"3,880 members",OVA
Ginga Tetsudou 999: Akai Hoshi Betelgeuze - Inochi no Kagayaki,6.25,8523,Jan 2014 - Jan 2014,"1,000 members",Movie
Halloween Pajama,6.25,8524,Oct 2022 - Oct 2022,539 members,ONA
Hanamaru Youchien: Panda Neko Taisou,6.25,8525,May 2010 - Aug 2010,"3,610 members",Special
Heibai Wushuang 3rd Season,6.25,8526,Jul 2021 - Sep 2021,"2,390 members",ONA
Honekami,6.25,8527,Sep 2021 - Sep 2021,408 members,Movie
Inazma Delivery,6.25,8528,Dec 2016 - Feb 2017,"1,432 members",TV
Infini-T Force Movie: Gatchaman - Saraba Tomo yo,6.25,8529,Feb 2018 - Feb 2018,"2,170 members",Movie
(OO),6.24,8530,2017 - 2017,305 members,Movie
12-sai.,6.24,8531,Apr 2014 - Jan 2015,"14,466 members",OVA
Alita De Shi Lian,6.24,8532,Oct 2016 - Oct 2016,368 members,ONA
Amefuri Kozou,6.24,8533,Dec 1983 - Dec 1983,"2,520 members",OVA
Appaga Piryohae,6.24,8534,2005 - 2005,"1,249 members",Movie
Arata naru Sekai: World's/Start/Load/End,6.24,8535,Oct 2012 - Oct 2012,"21,029 members",OVA
Bakugan Battle Brawlers: Mechtanium Surge,6.24,8536,Sep 2018 - 2018,"47,174 members",ONA
Bobobo-bo Bo-bobo Recap,6.24,8537,Oct 2004 - Oct 2004,"2,062 members",TV
Captain Tsubasa (2018) Special,6.24,8538,Nov 2019 - Nov 2019,"1,128 members",Special
Choujuu Kishin Dancougar: Ushinawareta Mono-tachi e no Requiem,6.24,8539,Apr 1986 - Apr 1986,"2,157 members",OVA
Chuumon no Ooi Ryouriten (1991),6.24,8540,1991 - 1991,"5,789 members",Movie
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Dai Bounen Otanoshimikai 2023,6.24,8541,Dec 2023 - Dec 2023,"1,867 members",TV
"Fukarai-chou, Tunnel Roji no Otoko",6.24,8542,2008 - 2008,783 members,ONA
Gag Manga Biyori: Jump Festa 2002 Special,6.24,8543,2002 - 2002,"1,095 members",Special
gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,6.24,8544,Sep 2014 - Sep 2014,"1,131 members",Movie
God Mazinger,6.24,8545,Apr 1984 - Oct 1984,"3,265 members",TV
Haiyoru! Nyaruani: Remember My Love(craft-sensei),6.24,8546,Dec 2010 - Feb 2011,"29,696 members",TV
Happy Seven: The TV Manga,6.24,8547,Oct 2005 - Dec 2005,"6,256 members",TV
