Name,Rating,Ranked,Popularity,Members,Type
Bokura wa Minna Kawai-sou,7.65,1392,Apr 2014 - Jun 2014,"391,417 members",TV
Chibi Maruko-chan,7.65,1393,Jan 1990 - Sep 1992,"13,392 members",TV
Code Geass: Hangyaku no Lelouch II - Handou,7.65,1394,Feb 2018 - Feb 2018,"78,551 members",Movie
Dekiru Neko wa Kyou mo Yuuutsu,7.65,1395,Jul 2023 - Sep 2023,"111,859 members",TV
Doupo Cangqiong 2nd Season,7.65,1396,Mar 2018 - May 2018,"10,663 members",ONA
Evangelion Movie 3: Q,7.65,1397,Nov 2012 - Nov 2012,"461,349 members",Movie
Fairy Tail (2014),7.65,1398,Apr 2014 - Mar 2016,"1,028,009 members",TV
Giovanni no Shima,7.65,1399,Feb 2014 - Feb 2014,"33,814 members",Movie
Hai to Gensou no Grimgar,7.65,1400,Jan 2016 - Mar 2016,"759,501 members",TV
Hanma Baki: Son of Ogre,7.65,1401,Sep 2021 - Sep 2021,"175,399 members",ONA
Jujutsu Kaisen 2nd Season Recaps,7.65,1402,Aug 2023 - Aug 2023,"27,238 members",TV
Kengan Ashura Season 2,7.65,1403,Sep 2023 - Sep 2023,"40,053 members",ONA
Kimi to Boku.,7.65,1404,Oct 2011 - Dec 2011,"189,747 members",TV
Kitarou Tanjou: Gegege no Nazo,7.65,1405,Nov 2023 - Nov 2023,"7,338 members",Movie
Kuroko no Basket NG-shuu,7.65,1406,Jul 2012 - Mar 2013,"67,743 members",Special
Kuroshitsuji,7.65,1407,Oct 2008 - Mar 2009,"1,217,111 members",TV
Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,7.65,1408,2006 - 2006,"10,634 members",TV
Mitsudomoe Zouryouchuu!,7.65,1409,Jan 2011 - Feb 2011,"47,375 members",TV
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,7.65,1410,Sep 2019 - Sep 2019,"111,296 members",OVA
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,7.65,1411,Dec 2013 - Dec 2013,"36,552 members",Special
Non Non Biyori: Okinawa e Ikukoto ni Natta,7.65,1412,Jul 2014 - Jul 2014,"67,636 members",OVA
Seikai no Senki,7.65,1413,Apr 2000 - Jul 2000,"35,200 members",TV
Seto no Hanayome,7.65,1414,Apr 2007 - Oct 2007,"335,836 members",TV
Shin Mazinger Shougeki! Z-hen,7.65,1415,Apr 2009 - Sep 2009,"16,662 members",TV
Shirobako Movie,7.65,1416,Feb 2020 - Feb 2020,"52,905 members",Movie
Toaru Kagaku no Railgun,7.65,1417,Oct 2009 - Mar 2010,"624,385 members",TV
Tondemo Skill de Isekai Hourou Meshi,7.65,1418,Jan 2023 - Mar 2023,"261,831 members",TV
Tsuritama,7.65,1419,Apr 2012 - Jun 2012,"171,583 members",TV
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.65,1420,Nov 2017 - Jan 2018,"43,183 members",TV
Shixiong A Shixiong,7.64,1421,Jan 2023 - Apr 2023,"2,158 members",ONA
Sugar Apple Fairy Tale Part 2,7.64,1422,Jul 2023 - Sep 2023,"66,727 members",TV
Tokyo Revengers: Seiya Kessen-hen,7.64,1423,Jan 2023 - Apr 2023,"383,707 members",TV
Working!!,7.64,1424,Apr 2010 - Jun 2010,"441,670 members",TV
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,7.64,1425,Jan 2024 - Mar 2024,"70,176 members",TV
5-toubun no Hanayome,7.64,1426,Jan 2019 - Mar 2019,"992,776 members",TV
Aggressive Retsuko (ONA),7.64,1427,Apr 2018 - Apr 2018,"187,163 members",ONA
Arashi no Yoru ni,7.64,1428,Dec 2005 - Dec 2005,"24,053 members",Movie
Dakaretai Otoko 1-i ni Odosarete Imasu. Movie: Spain-hen,7.64,1429,Oct 2021 - Oct 2021,"35,843 members",Movie
Date A Bullet: Nightmare or Queen,7.64,1430,Nov 2020 - Nov 2020,"76,840 members",Movie
Digimon Tamers,7.64,1431,Apr 2001 - Mar 2002,"203,424 members",TV
Drifters: Special Edition,7.64,1432,Jun 2016 - Jun 2016,"35,344 members",OVA
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,7.64,1433,May 2006 - May 2006,"72,147 members",Special
Gakuen Alice,7.64,1434,Oct 2004 - May 2005,"102,847 members",TV
Hachimitsu to Clover Specials,7.64,1435,Dec 2005 - Feb 2006,"31,828 members",Special
Kami nomi zo Shiru Sekai,7.64,1436,Oct 2010 - Dec 2010,"642,758 members",TV
Kidou Senshi Gundam Unicorn RE:0096,7.64,1437,Apr 2016 - Sep 2016,"36,699 members",TV
Machikado Mazoku,7.64,1438,Jul 2019 - Sep 2019,"172,128 members",TV
Mahou Shoujo ni Akogarete,7.64,1439,Jan 2024 - Mar 2024,"166,697 members",TV
Minami-ke,7.64,1440,Oct 2007 - Dec 2007,"176,296 members",TV
Minami-ke Tadaima,7.64,1441,Jan 2013 - Mar 2013,"58,994 members",TV
Nezha Zhi Mo Tong Jiang Shi,7.64,1442,Jul 2019 - Jul 2019,"14,729 members",Movie
Pandora Hearts,7.64,1443,Apr 2009 - Sep 2009,"439,486 members",TV
Princess Principal: Crown Handler Movie 3,7.64,1444,Apr 2023 - Apr 2023,"12,524 members",Movie
Psycho-Pass Movie: Providence,7.64,1445,May 2023 - May 2023,"52,268 members",Movie
Rokuhou-dou Yotsuiro Biyori,7.64,1446,Apr 2018 - Jun 2018,"35,213 members",TV
Kidou Senshi Gundam SEED Freedom,7.63,1447,Jan 2024 - Jan 2024,"13,084 members",Movie
Kimagure Orange☆Road: Ano Hi ni Kaeritai,7.63,1448,Oct 1988 - Oct 1988,"10,980 members",Movie
Nejimaki Seirei Senki: Tenkyou no Alderamin,7.63,1449,Jul 2016 - Oct 2016,"330,080 members",TV
Overlord Movie 1: Fushisha no Ou,7.63,1450,Feb 2017 - Feb 2017,"91,483 members",Movie
Poyopoyo Kansatsu Nikki,7.63,1451,Jan 2012 - Dec 2012,"21,706 members",TV
Ranma ½ Super,7.63,1452,Sep 1995 - Jan 1996,"20,625 members",OVA
"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",7.63,1453,Oct 2024 - Dec 2024,"78,718 members",TV
Shingeki no Kyojin Season 3 Specials,7.63,1454,Oct 2018 - Sep 2019,"39,411 members",Special
Sidonia no Kishi,7.63,1455,Apr 2014 - Jun 2014,"236,625 members",TV
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,7.63,1456,Nov 2022 - Nov 2022,"222,606 members",Movie
Tong Ling Fei,7.63,1457,Nov 2018 - Apr 2019,"49,329 members",ONA
Yama no Susume: Next Summit,7.63,1458,Oct 2022 - Dec 2022,"26,510 members",TV
Yowamushi Pedal: New Generation,7.63,1459,Jan 2017 - Jun 2017,"83,179 members",TV
Ao Haru Ride,7.63,1460,Jul 2014 - Sep 2014,"958,963 members",TV
Bokura wa Minna Kawai-sou: Hajimete no,7.63,1461,Jan 2015 - Jan 2015,"51,422 members",Special
Bounen no Xamdou,7.63,1462,Jul 2008 - Feb 2009,"146,012 members",ONA
Cardcaptor Sakura Movie 1,7.63,1463,Aug 1999 - Aug 1999,"102,546 members",Movie
Daa! Daa! Daa!,7.63,1464,Mar 2000 - Feb 2002,"26,685 members",TV
Doraemon Movie 07: Nobita to Tetsujin Heidan,7.63,1465,Mar 1986 - Mar 1986,"9,260 members",Movie
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,7.63,1466,Mar 2007 - Mar 2007,"10,894 members",Movie
Genshiken,7.63,1467,Oct 2004 - Dec 2004,"184,021 members",TV
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,7.63,1468,Oct 2010 - Oct 2010,"8,413 members",Movie
Inuyashiki,7.63,1469,Oct 2017 - Dec 2017,"669,144 members",TV
Aggressive Retsuko,7.62,1470,Apr 2016 - Mar 2018,"110,134 members",TV
AKB0048: Next Stage,7.62,1471,Jan 2013 - Mar 2013,"37,741 members",TV
Bishoujo Senshi Sailor Moon SuperS,7.62,1472,Mar 1995 - Mar 1996,"123,591 members",TV
Bleach Movie 4: Jigoku-hen,7.62,1473,Dec 2010 - Dec 2010,"222,919 members",Movie
Break Blade Movie 1: Kakusei no Toki,7.62,1474,May 2010 - May 2010,"86,104 members",Movie
Diamond no Ace: Second Season OVA,7.62,1475,Aug 2016 - Oct 2016,"11,972 members",OVA
Flip Flappers,7.62,1476,Oct 2016 - Dec 2016,"196,064 members",TV
Free!: FrFr - Short Movie,7.62,1477,Sep 2013 - Jan 2014,"74,377 members",Special
Genshiken OVA,7.62,1478,Dec 2006 - Apr 2007,"52,088 members",OVA
Gensou Mangekyou: The Memories of Phantasm,7.62,1479,Aug 2011 - May 2023,"8,069 members",OVA
Heion Sedai no Idaten-tachi,7.62,1480,Jul 2021 - Sep 2021,"198,301 members",TV
Hirogaru Sky! Precure,7.62,1481,Feb 2023 - Jan 2024,"11,098 members",TV
Ichigo Mashimaro,7.62,1482,Jul 2005 - Oct 2005,"117,224 members",TV
K: Missing Kings,7.62,1483,Jul 2014 - Jul 2014,"259,430 members",Movie
Konnichiwa Anne: Before Green Gables,7.62,1484,Apr 2009 - Dec 2009,"8,364 members",TV
Koyomimonogatari,7.62,1485,Jan 2016 - Mar 2016,"257,823 members",ONA
Kyou kara Maou!,7.62,1486,Apr 2004 - Feb 2006,"117,840 members",TV
Kyoukai no Kanata: Shinonome,7.62,1487,Jul 2014 - Jul 2014,"134,173 members",Special
Layton Kyouju to Eien no Utahime,7.62,1488,Dec 2009 - Dec 2009,"30,127 members",Movie
Lupin III,7.62,1489,Oct 1971 - Mar 1972,"106,376 members",TV
Maria-sama ga Miteru: Haru,7.62,1490,Jul 2004 - Sep 2004,"29,173 members",TV
Mashle,7.62,1491,Apr 2023 - Jul 2023,"649,040 members",TV
Meitantei Conan Movie 09: Suihei Senjou no Strategy Recap,7.62,1492,2005 - 2005,"10,054 members",TV
Meitantei Conan: Conan vs. Kid - Shark & Jewel,7.62,1493,Jul 2005 - Jul 2005,"8,882 members",Movie
Nanatsu no Taizai,7.62,1494,Oct 2014 - Mar 2015,"2,109,906 members",TV
Orange,7.62,1495,Jul 2016 - Sep 2016,"852,804 members",TV
Osomatsu-san 2nd Season,7.62,1496,Oct 2017 - Mar 2018,"56,002 members",TV
Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,7.62,1497,Jul 2022 - Jul 2022,"38,961 members",OVA
Seikai no Monshou,7.62,1498,Jan 1999 - Mar 1999,"54,790 members",TV
Seikai no Senki III,7.62,1499,Aug 2005 - Aug 2005,"18,469 members",OVA
Sekaiichi Hatsukoi,7.62,1500,Apr 2011 - Jun 2011,"223,102 members",TV
Servant x Service,7.62,1501,Jul 2013 - Sep 2013,"227,851 members",TV
Sexy Commando Gaiden: Sugoi yo!! Masaru-san,7.62,1502,Jan 1998 - Apr 1998,"13,245 members",TV
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,7.62,1503,Jul 1995 - Jul 1995,"18,479 members",Movie
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,7.62,1504,Apr 2015 - Apr 2015,"13,286 members",Movie
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,7.62,1505,Jul 2024 - Sep 2024,"369,537 members",TV
Trapp Ikka Monogatari,7.62,1506,Jan 1991 - Dec 1991,"9,129 members",TV
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,7.62,1507,Feb 2017 - Mar 2019,"24,325 members",OVA
Yi Nian Yong Heng 3rd Season,7.62,1508,Jul 2024 -,"2,006 members",ONA
Senki Zesshou Symphogear AXZ,7.61,1509,Jul 2017 - Oct 2017,"38,067 members",TV
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,7.61,1510,Jan 2023 - Apr 2023,983 members,ONA
Shingeki no Bahamut: Genesis,7.61,1511,Oct 2014 - Dec 2014,"423,955 members",TV
Shingeki no Kyojin: The Final Season Specials,7.61,1512,Jul 2021 - Aug 2021,"16,399 members",Special
Shinigami Bocchan to Kuro Maid 2nd Season,7.61,1513,Jul 2023 - Sep 2023,"90,347 members",TV
Soukyuu no Fafner: Dead Aggressor - Exodus Part 2,7.61,1514,Oct 2015 - Dec 2015,"15,841 members",TV
Tenchi Muyou! Ryououki,7.61,1515,Sep 1992 - Mar 1993,"55,526 members",OVA
Tenchi Muyou! Ryououki 2nd Season,7.61,1516,Sep 1994 - Sep 1995,"29,748 members",OVA
The iDOLM@STER,7.61,1517,Jul 2011 - Dec 2011,"155,900 members",TV
The iDOLM@STER Movie: Kagayaki no Mukougawa e!,7.61,1518,Jan 2014 - Jan 2014,"25,364 members",Movie
Tonikaku Kawaii 2nd Season,7.61,1519,Apr 2023 - Jun 2023,"263,763 members",TV
Utawarerumono,7.61,1520,Apr 2006 - Sep 2006,"175,735 members",TV
Aikatsu Stars!,7.61,1521,Apr 2016 - Mar 2018,"21,239 members",TV
Blood+,7.61,1522,Oct 2005 - Sep 2006,"385,012 members",TV
D4DJ First Mix,7.61,1523,Oct 2020 - Jan 2021,"43,835 members",TV
Di Yi Xulie,7.61,1524,Jul 2023 - Oct 2023,"1,760 members",ONA
Digimon Adventure tri. 3: Kokuhaku,7.61,1525,Sep 2016 - Sep 2016,"75,671 members",Movie
Doraemon Movie 26: Nobita no Kyouryuu 2006,7.61,1526,Mar 2006 - Mar 2006,"17,030 members",Movie
Eikoku Koi Monogatari Emma,7.61,1527,Apr 2005 - Jun 2005,"61,521 members",TV
Free! Eternal Summer,7.61,1528,Jul 2014 - Sep 2014,"426,602 members",TV
Fune wo Amu,7.61,1529,Oct 2016 - Dec 2016,"127,481 members",TV
Fushigi Yuugi,7.61,1530,Apr 1995 - Mar 1996,"123,328 members",TV
Gabriel DropOut Specials,7.61,1531,Mar 2017 - May 2017,"72,898 members",Special
Gakkougurashi!,7.61,1532,Jul 2015 - Sep 2015,"464,564 members",TV
Hakkenden: Touhou Hakken Ibun 2nd Season,7.61,1533,Jul 2013 - Sep 2013,"65,055 members",TV
High School Fleet Movie,7.61,1534,Jan 2020 - Jan 2020,"18,347 members",Movie
Huyao Xiao Hongniang: Yue Hong,7.61,1535,Jun 2016 - Sep 2016,"13,871 members",ONA
Jungle wa Itsumo Hare nochi Guu Final,7.61,1536,Dec 2003 - Jun 2004,"10,378 members",OVA
Juubee Ninpuuchou,7.61,1537,Jun 1993 - Jun 1993,"148,973 members",Movie
K: Seven Stories Movie 5 - Memory of Red - Burn,7.61,1538,Nov 2018 - Nov 2018,"23,129 members",Movie
"Kimi to, Nami ni Noretara",7.61,1539,Jun 2019 - Jun 2019,"237,357 members",Movie
Kino no Tabi: The Beautiful World - The Animated Series,7.61,1540,Oct 2017 - Dec 2017,"216,788 members",TV
Kishibe Rohan wa Ugokanai,7.61,1541,Sep 2017 - Mar 2020,"154,893 members",OVA
Love Live! Sunshine!! The School Idol Movie: Over the Rainbow,7.61,1542,Jan 2019 - Jan 2019,"47,031 members",Movie
Mahou Shoujo Lyrical Nanoha StrikerS,7.61,1543,Apr 2007 - Sep 2007,"54,796 members",TV
Master Keaton,7.61,1544,Oct 1998 - Mar 1999,"29,848 members",TV
Ojamajo Carnival!!,7.61,1545,Mar 2024 - Mar 2024,"1,907 members",ONA
Owari no Seraph: Nagoya Kessen-hen,7.61,1546,Oct 2015 - Dec 2015,"814,717 members",TV
Persona 3 the Movie 2: Midsummer Knight's Dream,7.61,1547,Jun 2014 - Jun 2014,"90,798 members",Movie
Piano no Mori,7.61,1548,Jul 2007 - Jul 2007,"70,025 members",Movie
Puparia,7.61,1549,Nov 2020 - Nov 2020,"54,846 members",ONA
R.O.D: Read or Die,7.61,1550,May 2001 - Feb 2002,"70,996 members",OVA
Rozen Maiden: Träumend,7.61,1551,Oct 2005 - Jan 2006,"107,674 members",TV
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),7.61,1552,Jul 2023 - Dec 2023,"131,536 members",TV
Jigoku Shoujo,7.60,1553,Oct 2005 - Apr 2006,"369,568 members",TV
Jigoku Shoujo Mitsuganae,7.60,1554,Oct 2008 - Apr 2009,"105,075 members",TV
Kareshi Kanojo no Jijou,7.60,1555,Oct 1998 - Mar 1999,"239,475 members",TV
Kimitachi wa Dou Ikiru ka,7.60,1556,Jul 2023 - Jul 2023,"110,123 members",Movie
Manga de Wakaru! Fate/Grand Order,7.60,1557,Dec 2018 - Dec 2018,"18,909 members",TV
Nurarihyon no Mago,7.60,1558,Jul 2010 - Dec 2010,"279,432 members",TV
Ongaku,7.60,1559,Jan 2020 - Jan 2020,"14,038 members",Movie
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,7.60,1560,Aug 2020 - Aug 2020,"8,143 members",Movie
Tegamibachi,7.60,1561,Oct 2009 - Mar 2010,"123,949 members",TV
White Album 2,7.60,1562,Oct 2013 - Dec 2013,"253,042 members",TV
Yama no Susume Third Season,7.60,1563,Jul 2018 - Sep 2018,"27,631 members",TV
Asobi Asobase Specials,7.60,1564,Nov 2018 - Dec 2018,"47,737 members",Special
Chrno Crusade,7.60,1565,Nov 2003 - Jun 2004,"230,692 members",TV
Da Wang Rao Ming 2,7.60,1566,Dec 2023 - Jan 2024,"19,196 members",ONA
Digimon Adventure Movie,7.60,1567,Mar 1999 - Mar 1999,"115,743 members",Movie
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.60,1568,Mar 1995 - Mar 1995,"159,409 members",Movie
Fairy Tail: Final Series,7.60,1569,Oct 2018 - Sep 2019,"529,533 members",TV
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,7.60,1570,May 2021 - May 2021,"79,150 members",Movie
Feng Ling Yu Xiu 2nd Season,7.60,1571,Jul 2023 - Sep 2023,"1,884 members",ONA
Free! Dive to the Future,7.60,1572,Jul 2018 - Sep 2018,"186,278 members",TV
Hellsing: Digest for Freaks,7.60,1573,Jan 2006 - Jan 2006,"45,843 members",OVA
Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,7.60,1574,Apr 2016 - Apr 2016,"33,055 members",Movie
Ani ni Tsukeru Kusuri wa Nai! 4,7.59,1575,Oct 2020 - Dec 2020,"30,898 members",TV
Ashita no Nadja,7.59,1576,Feb 2003 - Jan 2004,"34,500 members",TV
Bai Yao Pu 4th Season,7.59,1577,Feb 2024 - May 2024,"1,688 members",ONA
BanG Dream! Morfonication,7.59,1578,Jul 2022 - Jul 2022,"6,716 members",Special
Bokura no,7.59,1579,Apr 2007 - Sep 2007,"195,429 members",TV
Chuuka Ichiban!,7.59,1580,Apr 1997 - Sep 1998,"20,770 members",TV
Date A Bullet: Dead or Bullet,7.59,1581,Aug 2020 - Aug 2020,"111,816 members",Movie
Free! Movie 1: Timeless Medley - Kizuna,7.59,1582,Apr 2017 - Apr 2017,"52,209 members",Movie
Full Metal Panic!,7.59,1583,Jan 2002 - Jun 2002,"509,157 members",TV
Hakuouki Movie 1: Kyoto Ranbu,7.59,1584,Aug 2013 - Aug 2013,"30,249 members",Movie
Hoshiai no Sora,7.59,1585,Oct 2019 - Dec 2019,"208,593 members",TV
Initial D Battle Stage,7.59,1586,May 2002 - May 2002,"40,854 members",OVA
Initial D: Project D to the Next Stage - Project D e Mukete,7.59,1587,Mar 2003 - Mar 2003,"12,635 members",Special
Junjou Romantica 3,7.59,1588,Jul 2015 - Sep 2015,"123,837 members",TV
Kamonohashi Ron no Kindan Suiri 2nd Season,7.59,1589,Oct 2024 - Dec 2024,"44,728 members",TV
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,7.59,1590,Jul 2024 - Sep 2024,"82,628 members",TV
Kekkai Sensen,7.59,1591,Apr 2015 - Oct 2015,"902,351 members",TV
Kekkaishi,7.59,1592,Oct 2006 - Feb 2008,"113,686 members",TV
Kuroko no Basket: Mou Ikkai Yarimasen ka,7.59,1593,Jun 2014 - Jun 2014,"50,142 members",Special
Mahoujin Guruguru,7.59,1594,Oct 1994 - Sep 1995,"11,752 members",TV
Meitantei Conan: Kuro no Soshiki to Taiketsu no Rekishi,7.59,1595,Dec 2007 - Dec 2007,"8,733 members",TV
Persona 3 the Movie 3: Falling Down,7.59,1596,Apr 2015 - Apr 2015,"80,307 members",Movie
Prison School,7.59,1597,Jul 2015 - Sep 2015,"1,046,406 members",TV
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,7.59,1598,Nov 2019 - Nov 2019,"283,508 members",Movie
Shin Tennis no Oujisama vs. Genius 10,7.59,1599,Oct 2014 - Jun 2015,"20,261 members",OVA
Shinigami Bocchan to Kuro Maid,7.59,1600,Jul 2021 - Sep 2021,"261,783 members",TV
Tensura Nikki: Tensei shitara Slime Datta Ken,7.59,1601,Apr 2021 - Jun 2021,"357,124 members",TV
Toaru Hikuushi e no Tsuioku,7.59,1602,Oct 2011 - Oct 2011,"77,471 members",Movie
Top wo Nerae 2! Diebuster,7.59,1603,Oct 2004 - Aug 2006,"80,972 members",OVA
Uchuu Kyoudai: Number Zero,7.59,1604,Aug 2014 - Aug 2014,"7,877 members",Movie
Uma Musume: Pretty Derby Season 3,7.59,1605,Oct 2023 - Dec 2023,"23,488 members",TV
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,7.59,1606,Sep 2013 - Sep 2013,"279,031 members",OVA
Soredemo Sekai wa Utsukushii,7.58,1607,Apr 2014 - Jun 2014,"325,320 members",TV
Sword Art Online: Alicization - War of Underworld,7.58,1608,Oct 2019 - Dec 2019,"794,620 members",TV
Tennis no Oujisama: Another Story - Kako to Mirai no Message,7.58,1609,May 2009 - Sep 2009,"16,018 members",OVA
Tensei shitara Slime Datta Ken: Coleus no Yume,7.58,1610,Nov 2023 - Nov 2023,"94,238 members",ONA
Tianbao Fuyao Lu,7.58,1611,Jul 2020 - Sep 2020,"9,905 members",ONA
World Trigger,7.58,1612,Oct 2014 - Apr 2016,"440,544 members",TV
Yong Sheng: Shi Nian Zhi Yue,7.58,1613,Jul 2023 - Sep 2023,"1,742 members",ONA
Yowamushi Pedal: Glory Line,7.58,1614,Jan 2018 - Jun 2018,"62,093 members",TV
Akiba Meido Sensou,7.58,1615,Oct 2022 - Dec 2022,"171,298 members",TV
Akudama Drive,7.58,1616,Oct 2020 - Dec 2020,"455,364 members",TV
Arknights: Touin Kiro,7.58,1617,Oct 2023 - Nov 2023,"48,299 members",TV
Black Jack (TV),7.58,1618,Oct 2004 - Mar 2006,"38,041 members",TV
Boku no Hero Academia the Movie 3: World Heroes' Mission,7.58,1619,Aug 2021 - Aug 2021,"263,796 members",Movie
Candy Candy,7.58,1620,Oct 1976 - Feb 1979,"32,862 members",TV
Cang Yuan Tu: Dongning Fu Fanwai Pian,7.58,1621,Jul 2024 - Aug 2024,"1,004 members",ONA
Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,7.58,1622,Feb 2008 - Feb 2008,"43,089 members",OVA
Diamond no Ace OVA,7.58,1623,Nov 2014 - Mar 2015,"17,860 members",OVA
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,7.58,1624,Mar 2013 - Mar 2013,"9,129 members",Movie
"Fuufu Ijou, Koibito Miman.",7.58,1625,Oct 2022 - Dec 2022,"347,625 members",TV
Hakuouki: Sekkaroku,7.58,1626,Aug 2011 - Jun 2012,"28,448 members",OVA
Hanhua Riji 2nd Season,7.58,1627,Nov 2020 - Jan 2021,"3,460 members",ONA
Hirano to Kagiura,7.58,1628,Feb 2023 - Feb 2023,"27,046 members",Movie
"Ima, Soko ni Iru Boku",7.58,1629,Oct 1999 - Jan 2000,"151,557 members",TV
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,7.58,1630,May 2021 - May 2021,"243,521 members",OVA
Kidou Butouden G Gundam,7.58,1631,Apr 1994 - Mar 1995,"71,993 members",TV
Love Live! Sunshine!! 2nd Season,7.58,1632,Oct 2017 - Dec 2017,"119,619 members",TV
Majin Tantei Nougami Neuro,7.58,1633,Oct 2007 - Mar 2008,"68,978 members",TV
Majo Minarai wo Sagashite,7.58,1634,Nov 2020 - Nov 2020,"11,806 members",Movie
Naruto: Shippuuden - Sunny Side Battle,7.58,1635,Oct 2013 - Oct 2013,"75,718 members",Special
Romeo x Juliet,7.58,1636,Apr 2007 - Sep 2007,"187,348 members",TV
Saint Seiya: Meiou Hades Elysion-hen,7.58,1637,Mar 2008 - Aug 2008,"42,789 members",OVA
Koutetsujou no Kabaneri Movie 2: Moeru Inochi,7.57,1638,Jan 2017 - Jan 2017,"54,473 members",Movie
Macross Δ Movie 2: Zettai Live!!!,7.57,1639,Oct 2021 - Oct 2021,"8,989 members",Movie
Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,7.57,1640,Oct 2022 - Oct 2022,"3,845 members",ONA
Momo e no Tegami,7.57,1641,Apr 2012 - Apr 2012,"85,872 members",Movie
Pokemon: Mezase Pokemon Master,7.57,1642,Jan 2023 - Mar 2023,"26,136 members",TV
Pretty Rhythm: Rainbow Live,7.57,1643,Apr 2013 - Mar 2014,"14,184 members",TV
Ranma ½: Yomigaeru Kioku,7.57,1644,Dec 1994 - Feb 1995,"20,414 members",OVA
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,7.57,1645,Oct 2018 - Oct 2018,"307,620 members",Movie
Strike Witches Movie,7.57,1646,Mar 2012 - Mar 2012,"43,485 members",Movie
Sword Art Online: Alicization,7.57,1647,Oct 2018 - Mar 2019,"1,082,717 members",TV
Tada-kun wa Koi wo Shinai,7.57,1648,Apr 2018 - Jun 2018,"308,930 members",TV
Tsubasa Chronicle 2nd Season,7.57,1649,Apr 2006 - Nov 2006,"119,974 members",TV
Ushio to Tora (TV),7.57,1650,Jul 2015 - Dec 2015,"231,484 members",TV
Wonder Egg Priority,7.57,1651,Jan 2021 - Mar 2021,"784,012 members",TV
Yume-iro Pâtissière SP Professional,7.57,1652,Oct 2010 - Dec 2010,"43,263 members",TV
Yuru Camp△ Specials,7.57,1653,Mar 2018 - Jul 2018,"58,265 members",Special
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.57,1654,Nov 2010 - Jun 2011,"67,225 members",OVA
Ao Haru Ride OVA,7.57,1655,Aug 2014 - Dec 2014,"152,741 members",OVA
Ao no Exorcist Movie,7.57,1656,Dec 2012 - Dec 2012,"279,036 members",Movie
BanG Dream! 2nd Season,7.57,1657,Jan 2019 - Mar 2019,"47,154 members",TV
Bishoujo Senshi Sailor Moon Eternal Movie 1,7.57,1658,Jan 2021 - Jan 2021,"33,212 members",Movie
COLORs,7.57,1659,Mar 2023 - Mar 2023,"8,355 members",ONA
Doraemon Movie 40: Nobita no Shin Kyouryuu,7.57,1660,Aug 2020 - Aug 2020,"5,179 members",Movie
Dragon Ball Super: Super Hero,7.57,1661,Jun 2022 - Jun 2022,"123,650 members",Movie
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,7.57,1662,Oct 1990 - Oct 1990,"110,023 members",TV
Dragon Quest: Dai no Daibouken (TV),7.57,1663,Oct 1991 - Sep 1992,"25,087 members",TV
Fairy Tail,7.57,1664,Oct 2009 - Mar 2013,"1,780,321 members",TV
Fanren Xiu Xian Chuan: Chongzhi Ban,7.57,1665,Feb 2023 - Jun 2023,"1,031 members",ONA
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,7.57,1666,Jan 2021 - Feb 2021,"3,136 members",ONA
Free! Dive to the Future - Soushun no Build-up!,7.57,1667,Jun 2018 - Jun 2018,"24,804 members",Special
